Position,STS14E,STS14F,STS14G,STS14H,STS14I
1,5.2919792,11.43755507,3.009860402,4.432886104,5.357539703
2,-0.809902904,0.919917755,-2.059142513,-3.238424794,-5.438455533
3,-7.827527495,-11.93222783,-6.693830035,-8.26182506,-9.228963309
4,-1.811105925,-3.13760047,-0.892013174,-0.720008167,-0.231350895
5,7.082048686,20.90643275,1.636767062,3.956283683,5.480622938
6,-4.123799444,-0.501348501,-6.741092306,-9.73999108,-14.94720527
7,-17.01519225,-23.32505541,-15.72987871,-18.64982349,-20.38509097
8,-5.981579968,-8.098347085,-4.591902729,-5.253373023,-6.047603581

