Group, SLD, SLH, SMD, SMH, SRD, SRH, CAH, CAW, CMH, CMW, CPH, CPW, AID, AIW, AMD, AMW, ASD, ASW
Input, 29.29388785, 39.76169586, 29.29498148, 40.05649948, 29.28951287, 40.82686615, 29.2761054, 46.46076965, 28.42824721, 49.89910507, 26.80380869, 46.44095421, 38.53827286, 49.89910507, 38.82426453, 41.42511177, 40.82687378, 44.61896133
Input, 28, 36.7791214, 28, 35.0120697, 27.3359375, 37.57732391, 27.31451607, 45.73020744, 27, 49.8602314, 27.31451607, 48.19297218, 34.54166412, 49.61261177, 35.97058868, 41.65516853, 37.23108292, 49.10783577
Input, 27.3359375, 38.25, 27.30327868, 36.3235321, 28, 40.68571281, 28, 49.37696266, 27.05652571, 51.21116066, 27.1981132, 50.15937424, 34.60210419, 51.21116066, 38.54885292, 43.37096786, 40.43982506, 49.25378799
Input, 28.3359375, 39.01088715, 27.61779475, 37.83333588, 27.63991356, 36.96650124, 26.75462914, 51.32758331, 27.65079427, 56.59687805, 28.3359375, 55.04285622, 34.5983448, 48.74285507, 37, 46.48611069, 39.97222328, 56.59687805
Input, 28.63921547, 36.04166794, 28.87037039, 34.56461334, 30, 33.01309586, 25.74153519, 58.11514664, 29.31451607, 58.22727203, 30, 46.9416523, 31.86884308, 57.27458763, 35.55555344, 58.85630417, 36.36764526, 55.328125
Input, 30.56944275, 40.16871643, 31.37878799, 44.35428238, 32.47297287, 44.04792976, 31.52857208, 46.07009697, 32.47297287, 49.19025421, 29.1020999, 46.05034637, 40.6840477, 49.19025421, 41.56579018, 42.59722137, 45.02239227, 46.96129417
Input, 32.47142839, 42.67990875, 32.58108091, 42.02243423, 32.58108091, 42.09677124, 32.58108091, 54.94444084, 29.52414775, 56.21904945, 29.15052366, 49.17122078, 42.51806641, 56.21904945, 42.31980133, 48.81219482, 43.80728912, 52.81134224
Input, 30.65151501, 48.49951553, 32.44285703, 47.79629517, 32.51388884, 45.21332169, 32.51388884, 60.609375, 31.45261598, 62.62500191, 30.86111259, 55, 45.26455307, 62.62500191, 44.5920105, 52.44642639, 46.06353378, 55.77951431
Input, 30.33823538, 49.47702026, 30.54166698, 48.88480759, 32.44285727, 46.87096405, 32.44285727, 62, 31.68181801, 63.42579651, 30.24193573, 52.63999939, 43.22395706, 63.42579651, 46.75405312, 55.68333435, 50.95833588, 61.16497803
Input, 30.59210539, 34.54166794, 30.58108091, 36.1040535, 31.31451607, 39.0833931, 31.132653, 50.06451416, 30.63991356, 50.69208527, 29.75876951, 44.15948486, 36.60385895, 50.69208527, 38.35872269, 43.63437462, 39.13513565, 48.703125
Input, 30.5, 42.06322098, 31.36764717, 39.95752716, 31.50566864, 44.55532074, 31.71009922, 50.45448303, 31.66863632, 52.35872841, 31.5967741, 48.25, 38.01661682, 52.26262856, 42.77407074, 44.5681839, 41.05096436, 48.92817307
Input, 30.2129631, 40.82301712, 30, 41.24193573, 29.59210539, 41.97763443, 30.2129631, 52.22413826, 29.56944442, 53.97121239, 29.59210539, 51.4821434, 39.68479156, 53.97121239, 39.92075348, 44.88793182, 39.94872665, 50.765522
Input, 30.51093411, 40.91982841, 31.06682062, 42.58474541, 30.56731534, 41.84108734, 31.27347684, 56.34660149, 30.45099998, 57.45793724, 31.06682062, 53.23109055, 40.62474823, 57.45793724, 40.12719154, 49.55449486, 41.93131828, 51.77850914
Input, 28.54166651, 51.04838753, 29.31451607, 56.94117737, 28.58108091, 51, 27.89559698, 66.93064308, 28.58108091, 66.59015465, 29.31451607, 60.02011299, 56.25, 61.03676414, 50.39430237, 67.31052589, 47.40317154, 62

